Country,Index,YF_symbols
Ireland,,
,ISEQ 20,^IETP
Italy,,
,FTSE MIB,FTSEMIB.MI
,FTSE Italia Mid Cap,ITMC.FGI
,MIBTel,
Lithuania,,
,OMXV - OMX Vilnius ,^OMXV
Luxembourg,,
,LuxX Index - Luxembourg Stock Exchange,
Netherlands,,
,AEX index,^AEX
,AMX index (Midcap),
,AScX index (Small Cap) ASCX NR,ASCXN.AS
Norway,,
,OBX Index,OBX.OL
Poland,,
,WIG,
,WIG30,
Portugal,,
,PSI-20,PSI20.LS
,PSI-GERAL,
Romania,,
,BET-10,
Russia,,
,MOEX Russia Index,IMOEX.ME
,MICEX (Moscow Interbank Currency Exchange),
,RTSI - RTS Index ,RTSI.ME
Serbia,,
,BELEX15,
,BELEXline,
Slovakia,,
,Slovak Share Index INAV EXPAT SLOVAK.SAX EUR ,0WVP.DE
Spain,,
,Madrid Stock Exchange General Index,
,IBEX 35,^IBEX
Sweden,,
,OMXS30 - OMX Stockholm 30,XACT-OMXS30.ST
,OMXSPI - OMX Stockholm PI ,^OMXSPI
Switzerland,,
,SMI - Swiss Market Index ,
,SMI MID,SMID
,SMI Expanded,
,SPI - Swiss Performance Index,SPI20.SW
,SLI - Swiss Leader Index,SLI.SW
Ukraine,,
,PFTS index,
United Kingdom,,
,FT30 Index,
,FTSE 100 Index,^FTSE
,FTSE MID 250 Index,^FTMC
,FTSE 350 Index,^FTLC
,FTSE All-Share Index,^FTAS
,FTSE SmallCap Index,^FTSC
,FTSE Fledgling Index,NSX.L
,FTSE techMark Index,^FTT1X
,FTSE AIM All-Share Index,^FTAI
,FTSE AIM UK 50 Index,AIM5.L
Australia,,
,S&P/ASX 20 ,
,S&P/ASX 50 ,
,S&P/ASX 200,^AXJO
,S&P/ASX 300 ,
,SPDR S&P/ASX 50 Fund,SFY.AX
New Zealand,,
,S&P/NZX 50 INDEX GROSS,^NZ50
Kuwait,,
,Kuwait Stock Exchange Index,
,FTSE Coast Kuwait 40 Index,GPCST001.FGI
,Dow Jones Islamic Market Kuwait,^DJIMKW
Latvia,,
,NASDAQ OMX Riga,
,OMX Riga_GI,^OMXR
,DWLI - DJ Latvia Total Market ,
Malta,,
,MSE (MSE),MSE
,Malta Stock Exchange,MALTEX:IND
Montenegro,,
,MNSE10 - MNSE 10,
,MONEX - MONEX,
